,SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
7657672,2347465,345711,1.0,2,-1619.0,-1639.0,9933.93,9933.93
8481174,2716699,345711,1.0,3,-687.0,-692.0,6367.86,6367.86
8544498,2716699,345711,1.0,6,-597.0,-608.0,6334.425,6334.425
8571099,2347465,345711,1.0,12,-1319.0,-1332.0,9939.42,9939.42
9457933,2347465,345711,1.0,9,-1409.0,-1419.0,9933.93,9933.93
9674615,2347465,345711,1.0,6,-1499.0,-1513.0,9933.93,9933.93
9683128,2716699,345711,1.0,2,-717.0,-731.0,6367.86,6367.86
9728964,2347465,345711,1.0,10,-1379.0,-1393.0,9933.93,9933.93
9886964,2347465,345711,1.0,5,-1529.0,-1542.0,9933.93,9933.93
9929274,2347465,345711,1.0,11,-1349.0,-1365.0,9933.93,9933.93
10065135,2347465,345711,1.0,7,-1469.0,-1480.0,9933.93,9933.93
10512480,2347465,345711,1.0,4,-1559.0,-1571.0,9933.93,9933.93
10520916,2347465,345711,1.0,3,-1589.0,-1603.0,9933.93,9933.93
10563542,2347465,345711,1.0,1,-1649.0,-1660.0,9933.93,9933.93
10979047,2716699,345711,1.0,4,-657.0,-661.0,6367.86,6367.86
11204453,2347465,345711,1.0,8,-1439.0,-1450.0,9933.93,9933.93
11272577,2716699,345711,1.0,1,-747.0,-762.0,6367.86,6367.86
11280170,2716699,345711,1.0,5,-627.0,-632.0,6367.86,6367.86
