,SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
199315,383390,5829492,Active,currency 1,-2741,0,30947.0,,,0,102600.0,45580.5,0.0,0.0,Credit card,-851,6795.0
312598,383390,6098669,Active,currency 1,-1131,0,,,0.0,0,0.0,0.0,0.0,0.0,Credit card,-7,0.0
658902,383390,6098660,Closed,currency 1,-393,0,-174.0,-174.0,,0,29421.0,0.0,0.0,0.0,Consumer credit,-149,
658903,383390,6098661,Closed,currency 1,-681,0,-304.0,-304.0,,0,213615.0,0.0,0.0,0.0,Consumer credit,-280,6795.0
658904,383390,6098662,Closed,currency 1,-714,0,-591.0,-587.0,,0,18000.0,0.0,0.0,0.0,Consumer credit,-585,0.0
658905,383390,6098663,Active,currency 1,-995,0,30947.0,,,0,0.0,0.0,0.0,0.0,Credit card,-20,0.0
658906,383390,6098664,Closed,currency 1,-995,0,-780.0,-780.0,,0,54580.5,0.0,0.0,0.0,Consumer credit,-773,0.0
658907,383390,6098665,Closed,currency 1,-1131,0,-947.0,-947.0,,0,61515.0,0.0,0.0,0.0,Consumer credit,-937,0.0
658908,383390,6098666,Active,currency 1,-440,0,30947.0,,,0,158886.0,132979.5,0.0,0.0,Credit card,-13,0.0
658909,383390,6098668,Closed,currency 1,-486,0,-335.0,-290.0,,0,21483.0,,,0.0,Consumer credit,-290,0.0
