,SK_ID_BUREAU,MONTHS_BALANCE,STATUS
20052821,5354934,0,C
20052822,5354934,-1,C
20052823,5354934,-2,C
20052824,5354934,-3,C
20052825,5354934,-4,C
20052826,5354934,-5,C
20052827,5354934,-6,C
20052828,5354934,-7,C
20052829,5354934,-8,C
20052830,5354934,-9,C
20052831,5354934,-10,C
20052832,5354934,-11,C
20052833,5354934,-12,C
20052834,5354934,-13,C
20052835,5354934,-14,C
20052836,5354934,-15,C
20052837,5354934,-16,C
20052838,5354934,-17,C
20052839,5354934,-18,C
20052840,5354934,-19,C
20052841,5354934,-20,C
20052842,5354934,-21,C
20052843,5354934,-22,C
20052844,5354934,-23,C
20052845,5354934,-24,C
20052846,5354934,-25,C
20052847,5354934,-26,C
20052848,5354934,-27,C
20052849,5354934,-28,0
20052850,5354934,-29,0
20052851,5354934,-30,0
20052852,5354934,-31,0
20052853,5354934,-32,0
20052854,5354934,-33,0
20052855,5354934,-34,0
20052856,5354934,-35,0
20052857,5354934,-36,0
20052858,5354934,-37,0
20052859,5354934,-38,0
20052860,5354934,-39,0
24466484,5354933,0,0
24466485,5354933,-1,0
24466486,5354933,-2,0
24466487,5354933,-3,0
24466488,5354933,-4,0
24466489,5354933,-5,0
24466490,5354935,0,0
24466491,5354936,0,X
24466492,5354936,-1,X
24466493,5354936,-2,X
24466494,5354936,-3,0
24466495,5354936,-4,0
24466496,5354936,-5,0
24466497,5354936,-6,0
24466498,5354936,-7,0
24466499,5354936,-8,0
24466500,5354936,-9,0
24466501,5354936,-10,0
24466502,5354936,-11,0
24466503,5354936,-12,0
24466504,5354936,-13,0
24466505,5354936,-14,0
24466506,5354936,-15,0
24466507,5354936,-16,0
24466508,5354936,-17,0
24466509,5354936,-18,0
24466510,5354936,-19,0
24466511,5354936,-20,0
24466512,5354936,-21,0
24466513,5354936,-22,0
24466514,5354936,-23,0
24466515,5354936,-24,0
24466516,5354936,-25,0
24466517,5354936,-26,0
24466518,5354936,-27,0
24466519,5354936,-28,0
24466520,5354936,-29,0
24466521,5354936,-30,0
24466522,5354936,-31,0
24466523,5354936,-32,0
24466524,5354936,-33,0
24466525,5354936,-34,0
24466526,5354936,-35,0
24466527,5354936,-36,0
24466528,5354936,-37,0
24466529,5354936,-38,0
24466530,5354936,-39,0
24466531,5354936,-40,0
24466532,5354936,-41,0
24466533,5354936,-42,0
24466534,5354936,-43,5
24466535,5354936,-44,5
24466536,5354936,-45,5
24466537,5354936,-46,5
24466538,5354936,-47,5
24466539,5354936,-48,5
24466540,5354936,-49,5
24466541,5354936,-50,5
24466542,5354936,-51,5
24466543,5354936,-52,5
24466544,5354936,-53,5
24466545,5354936,-54,5
24466546,5354936,-55,5
24466547,5354936,-56,5
24466548,5354936,-57,5
24466549,5354936,-58,5
24466550,5354936,-59,5
24466551,5354936,-60,5
24466552,5354936,-61,5
24466553,5354936,-62,5
24466554,5354936,-63,5
24466555,5354936,-64,4
24466556,5354936,-65,3
24466557,5354936,-66,2
24466558,5354936,-67,1
24466559,5354936,-68,0
24466560,5354936,-69,0
24466561,5354936,-70,0
24466562,5354936,-71,0
24466563,5354936,-72,0
24466564,5354936,-73,0
