,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
445052,2746137,335249,-67,12.0,5.0,Active,0,0
519099,2746137,335249,-66,12.0,4.0,Active,0,0
536867,2716898,335249,-22,48.0,21.0,Active,0,0
595494,2746137,335249,-70,12.0,8.0,Active,0,0
726088,2746137,335249,-69,12.0,7.0,Active,0,0
784458,1366861,335249,-48,13.0,1.0,Active,0,0
804327,2330995,335249,-46,10.0,1.0,Active,10,10
872990,2716898,335249,-41,48.0,41.0,Active,0,0
873233,2716898,335249,-34,48.0,34.0,Active,0,0
971381,2716898,335249,-35,48.0,35.0,Active,0,0
1034707,2716898,335249,-19,48.0,18.0,Active,0,0
1098886,2330995,335249,-49,4.0,4.0,Active,0,0
1142746,2330995,335249,-45,4.0,0.0,Completed,0,0
1160598,2716898,335249,-12,48.0,11.0,Active,0,0
1398395,2716898,335249,-37,48.0,37.0,Active,0,0
1688360,2330995,335249,-47,10.0,2.0,Active,0,0
1690825,2716898,335249,-16,48.0,15.0,Active,0,0
2049483,2746137,335249,-68,12.0,6.0,Active,0,0
2083504,1366861,335249,-49,13.0,2.0,Active,0,0
2114926,2716898,335249,-25,48.0,25.0,Active,0,0
2227695,2716898,335249,-42,48.0,42.0,Active,0,0
2294120,2716898,335249,-48,48.0,48.0,Active,0,0
2301619,2716898,335249,-24,48.0,24.0,Active,0,0
2303223,2716898,335249,-20,48.0,19.0,Active,0,0
2327355,2746137,335249,-65,12.0,3.0,Active,0,0
2720907,2716898,335249,-15,48.0,14.0,Active,0,0
2747928,2716898,335249,-26,48.0,26.0,Active,0,0
2879655,2716898,335249,-43,48.0,43.0,Active,0,0
2901992,2716898,335249,-11,38.0,0.0,Completed,0,0
3090466,2746137,335249,-72,12.0,10.0,Active,0,0
3560857,1711860,335249,-64,8.0,5.0,Active,0,0
3610619,2746137,335249,-71,12.0,9.0,Active,0,0
3673035,2746137,335249,-63,12.0,1.0,Active,0,0
3706144,2330995,335249,-48,4.0,3.0,Active,0,0
4117082,2716898,335249,-13,48.0,12.0,Active,0,0
4140613,2716898,335249,-14,48.0,13.0,Active,0,0
4553764,2716898,335249,-28,48.0,28.0,Active,0,0
4672750,2716898,335249,-33,48.0,33.0,Active,0,0
4714827,2716898,335249,-23,48.0,22.0,Active,0,0
4999358,2746137,335249,-73,12.0,11.0,Active,0,0
5257136,2746137,335249,-74,12.0,12.0,Active,0,0
5605793,2746137,335249,-64,12.0,2.0,Active,0,0
5638831,1711860,335249,-66,8.0,7.0,Active,0,0
6151311,1366861,335249,-50,13.0,3.0,Active,0,0
6213135,1711860,335249,-63,8.0,4.0,Active,0,0
6227422,1366861,335249,-56,13.0,9.0,Active,0,0
6294388,2716898,335249,-39,48.0,39.0,Active,0,0
6297519,2716898,335249,-36,48.0,36.0,Active,0,0
6316464,1366861,335249,-59,13.0,12.0,Active,0,0
6354920,2716898,335249,-44,48.0,44.0,Active,0,0
6559929,2716898,335249,-45,48.0,45.0,Active,0,0
6684447,1711860,335249,-67,8.0,8.0,Active,0,0
6800721,1366861,335249,-47,13.0,0.0,Completed,0,0
6850193,2716898,335249,-17,48.0,16.0,Active,0,0
6900373,1366861,335249,-54,13.0,7.0,Active,0,0
6900883,1366861,335249,-57,13.0,10.0,Active,0,0
6928370,1711860,335249,-65,8.0,6.0,Active,0,0
6970308,2716898,335249,-38,48.0,38.0,Active,0,0
7032614,1711860,335249,-60,8.0,1.0,Active,0,0
7123699,2716898,335249,-27,48.0,27.0,Active,0,0
7174245,1711860,335249,-61,8.0,2.0,Active,0,0
7326834,1711860,335249,-62,8.0,3.0,Active,0,0
7370281,2716898,335249,-18,48.0,17.0,Active,0,0
7439955,2716898,335249,-21,48.0,21.0,Active,0,0
7441541,2716898,335249,-30,48.0,30.0,Active,0,0
7581705,2716898,335249,-29,48.0,29.0,Active,0,0
7583484,2716898,335249,-31,48.0,31.0,Active,0,0
7671589,1366861,335249,-53,13.0,6.0,Active,0,0
8186401,2716898,335249,-47,48.0,47.0,Active,0,0
8187419,2716898,335249,-40,48.0,40.0,Active,0,0
8584888,2716898,335249,-46,48.0,46.0,Active,0,0
8900057,2716898,335249,-32,48.0,32.0,Active,0,0
9311793,1366861,335249,-58,13.0,11.0,Active,0,0
9372752,1366861,335249,-51,13.0,4.0,Active,0,0
9829243,1366861,335249,-60,13.0,13.0,Active,0,0
9941239,1366861,335249,-52,13.0,5.0,Active,0,0
9943139,1366861,335249,-55,13.0,8.0,Active,0,0
